name,r2,roc,recall,precission,accurarcy
lasso,-0.8245614035087712,0.5877192982456141,0.17543859649122806,1.0,0.5480769230769231
enet,-0.7469204927211639,0.6052631578947368,0.21052631578947367,1.0,0.5673076923076923
loger,0.49533407988055267,0.8747667039940277,0.8771929824561403,0.8928571428571429,0.875
Nearest Neighbors,0.34005225830533803,0.8228816722657708,0.9649122807017544,0.7857142857142857,0.8365384615384616
Linear SVM,0.5341545352743562,0.877939529675252,0.9473684210526315,0.8571428571428571,0.8846153846153846
RBF SVM,-1.1739455020530039,0.5087719298245614,0.017543859649122806,1.0,0.46153846153846156
Gaussian Process,0.7670772676371781,0.9380365808137364,0.9824561403508771,0.9180327868852459,0.9423076923076923
Decision Tree,0.3012318029115344,0.8234415826801046,0.8596491228070176,0.8305084745762712,0.8269230769230769
Random Forest,0.4176931690929453,0.8516237402015678,0.8947368421052632,0.85,0.8557692307692307
Neural Net,0.3012318029115344,0.8271743187756625,0.8245614035087719,0.8545454545454545,0.8269230769230769
AdaBoost,0.6894363568495708,0.9204927211646134,0.9473684210526315,0.9152542372881356,0.9230769230769231
Naive Bayes,0.14594998133631987,0.792086599477417,0.7543859649122807,0.8431372549019608,0.7884615384615384
QDA,0.5729749906681599,0.8979096677864875,0.8596491228070176,0.9423076923076923,0.8942307692307693
